query_id,tipo,query,relevant_source_ids,latencia_ms,rr,precision@1,recall_articulo@1,ndcg@1,precision@3,recall_articulo@3,ndcg@3,precision@5,recall_articulo@5,ndcg@5,precision@10,recall_articulo@10,ndcg@10
q01,lexica,función de ranking Okapi BM25,bm25,19.251,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7653606369886217,0.4,1.0,0.6366824387328317,0.2,1.0,0.6366824387328317
q02,lexica,tf-idf frecuencia inversa de documento,tfidf,21.042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8104616303452685
q03,lexica,índice invertido en recuperación de información,indice_invertido,23.452,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.2960819109658652,0.2,1.0,0.2960819109658652,0.3,1.0,0.6045093387918965
q04,lexica,reconocimiento de entidades nombradas,ner,21.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.7917267193679839
q05,lexica,similitud coseno entre dos vectores,similitud_coseno,29.334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8687949224876582,0.4,1.0,0.8687949224876582
q06,lexica,modelo word2vec skip-gram y bolsa continua de palabras,word2vec,25.221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8539316501572937,0.8,1.0,0.835780413693672
q07,lexica,análisis de sentimiento de opiniones,analisis_sentimiento,22.906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q08,lexica,traducción automática estadística y neuronal,traduccion_automatica,19.303,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5307212739772434,0.6,1.0,0.5147714448836774,0.5,1.0,0.4697368900553819
q09,lexica,mecanismo de atención en aprendizaje automático,atencion,18.033,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7653606369886217,0.6,1.0,0.6992148198508501,0.4,1.0,0.5587200034820092
q10,lexica,precisión y exhaustividad como métricas de evaluación,precision_exhaustividad,23.607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.7227265726449519,0.5,1.0,0.708897678491198
q11,lexica,tareas del procesamiento de lenguaje natural,pln,21.457,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.2960819109658652,0.4,1.0,0.34519134224686937,0.3,1.0,0.30240383049385083
q12,semantica,cómo puntuar la pertinencia de un texto frente a las palabras buscadas,bm25,27.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q13,semantica,representar palabras como vectores numéricos que capturan su significado,word2vec|word_embedding,22.716,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.7039180890341347,0.6,0.5,0.6548086577531307,0.4,1.0,0.49828993591603105
q14,semantica,convertir un texto de un idioma a otro sin intervención humana,traduccion_automatica,21.407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8687949224876582,0.7,1.0,0.77523873680463
